Country;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;last_updated
Denmark;1255;104;9;3;1;1245;2020-03-20T22:01:00Z
Malaysia;1030;130;3;1;87;940;2020-03-20T22:01:00Z
Portugal;1020;234;6;2;5;1009;2020-03-20T22:01:00Z
Japan;963;20;33;NA;215;715;2020-03-20T22:01:00Z
Canada;951;78;12;NA;11;928;2020-03-20T22:01:00Z
Brazil;904;264;11;4;2;891;2020-03-20T22:01:00Z
Australia;876;120;7;NA;46;823;2020-03-20T22:01:00Z
Czechia;833;139;NA;NA;4;829;2020-03-20T22:01:00Z
Diamond Princess;712;NA;8;1;527;177;2020-03-20T22:01:00Z
Israel;705;28;1;1;15;689;2020-03-20T22:01:00Z
Ireland;683;126;3;NA;5;675;2020-03-20T22:01:00Z
Turkey;670;311;9;5;NA;661;2020-03-20T22:01:00Z
Pakistan;501;47;3;1;13;485;2020-03-20T22:01:00Z
Greece;495;31;10;4;19;466;2020-03-20T22:01:00Z
Luxembourg;484;149;5;1;6;473;2020-03-20T22:01:00Z
Qatar;470;10;NA;NA;10;460;2020-03-20T22:01:00Z
Finland;450;50;NA;NA;10;440;2020-03-20T22:01:00Z
Chile;434;92;NA;NA;6;428;2020-03-20T22:01:00Z
Poland;425;70;5;NA;13;407;2020-03-20T22:01:00Z
Iceland;409;79;NA;NA;5;404;2020-03-20T22:01:00Z
Singapore;385;40;NA;NA;131;254;2020-03-20T22:01:00Z
Indonesia;369;60;32;7;17;320;2020-03-20T22:01:00Z
Ecuador;367;107;5;2;3;359;2020-03-20T22:01:00Z
Saudi Arabia;344;70;NA;NA;8;336;2020-03-20T22:01:00Z
Slovenia;341;22;1;NA;NA;340;2020-03-20T22:01:00Z
Thailand;322;50;1;NA;42;279;2020-03-20T22:01:00Z
Romania;308;31;NA;NA;31;277;2020-03-20T22:01:00Z
Bahrain;298;19;1;NA;125;172;2020-03-20T22:01:00Z
Egypt;285;29;8;1;42;235;2020-03-20T22:01:00Z
Estonia;283;16;NA;NA;1;282;2020-03-20T22:01:00Z
Peru;263;29;4;3;1;258;2020-03-20T22:01:00Z
Hong Kong;256;48;4;NA;98;154;2020-03-20T22:01:00Z
Russia;253;54;1;NA;12;240;2020-03-20T22:01:00Z
India;249;55;5;1;23;221;2020-03-20T22:01:00Z
Philippines;230;13;18;1;8;204;2020-03-20T22:01:00Z
Iraq;208;16;17;4;49;142;2020-03-20T22:01:00Z
South Africa;202;52;NA;NA;NA;202;2020-03-20T22:01:00Z
Lebanon;177;20;4;NA;4;169;2020-03-20T22:01:00Z
Mexico;164;46;1;NA;4;159;2020-03-20T22:01:00Z
Kuwait;159;11;NA;NA;22;137;2020-03-20T22:01:00Z
Colombia;145;37;NA;NA;1;144;2020-03-20T22:01:00Z
San Marino;144;NA;14;NA;4;126;2020-03-20T22:01:00Z
UAE;140;NA;2;2;31;107;2020-03-20T22:01:00Z
Panama;137;NA;1;NA;1;135;2020-03-20T22:01:00Z
Slovakia;137;13;NA;NA;NA;137;2020-03-20T22:01:00Z
Armenia;136;14;NA;NA;1;135;2020-03-20T22:01:00Z
Taiwan;135;27;2;1;28;105;2020-03-20T22:01:00Z
Serbia;135;32;1;1;2;132;2020-03-20T22:01:00Z
Croatia;130;20;1;NA;5;124;2020-03-20T22:01:00Z
Argentina;128;NA;3;NA;3;122;2020-03-20T22:01:00Z
Bulgaria;127;20;3;NA;1;123;2020-03-20T22:01:00Z
Costa Rica;113;26;2;1;2;109;2020-03-20T22:01:00Z
Latvia;111;25;NA;NA;1;110;2020-03-20T22:01:00Z
Algeria;94;4;11;2;32;51;2020-03-20T22:01:00Z
Uruguay;94;15;NA;NA;NA;94;2020-03-20T22:01:00Z
Vietnam;91;6;NA;NA;17;74;2020-03-20T22:01:00Z
Bosnia and Herzegovina;89;25;NA;NA;2;87;2020-03-20T22:01:00Z
Hungary;85;12;4;3;7;74;2020-03-20T22:01:00Z
Jordan;85;16;NA;NA;1;84;2020-03-20T22:01:00Z
Faeroe Islands;80;8;NA;NA;3;77;2020-03-20T22:01:00Z
Morocco;79;16;3;1;2;74;2020-03-20T22:01:00Z
Brunei;78;5;NA;NA;1;77;2020-03-20T22:01:00Z
North Macedonia;76;26;NA;NA;1;75;2020-03-20T22:01:00Z
Andorra;75;1;NA;NA;1;74;2020-03-20T22:01:00Z
Cyprus;75;8;NA;NA;NA;75;2020-03-20T22:01:00Z
Sri Lanka;73;13;NA;NA;3;70;2020-03-20T22:01:00Z
Dominican Republic;72;38;2;NA;NA;70;2020-03-20T22:01:00Z
Albania;70;6;2;NA;2;66;2020-03-20T22:01:00Z
Belarus;69;18;NA;NA;15;54;2020-03-20T22:01:00Z
Moldova;66;17;1;NA;1;64;2020-03-20T22:01:00Z
Malta;64;11;NA;NA;2;62;2020-03-20T22:01:00Z
Lithuania;63;15;NA;NA;1;62;2020-03-20T22:01:00Z
Tunisia;54;15;1;NA;1;52;2020-03-20T22:01:00Z
Kazakhstan;52;8;NA;NA;NA;52;2020-03-20T22:01:00Z
Cambodia;51;14;NA;NA;1;50;2020-03-20T22:01:00Z
Oman;48;NA;NA;NA;13;35;2020-03-20T22:01:00Z
Palestine;48;1;NA;NA;17;31;2020-03-20T22:01:00Z
Guadeloupe;45;12;NA;NA;NA;45;2020-03-20T22:01:00Z
Azerbaijan;44;NA;1;NA;7;36;2020-03-20T22:01:00Z
Georgia;44;4;NA;NA;1;43;2020-03-20T22:01:00Z
Venezuela;42;NA;NA;NA;NA;42;2020-03-20T22:01:00Z
Ukraine;41;15;3;NA;1;37;2020-03-20T22:01:00Z
Burkina Faso;40;7;1;NA;4;35;2020-03-20T22:01:00Z
New Zealand;39;11;NA;NA;NA;39;2020-03-20T22:01:00Z
Senegal;38;2;NA;NA;2;36;2020-03-20T22:01:00Z
Uzbekistan;33;10;NA;NA;NA;33;2020-03-20T22:01:00Z
Martinique;32;9;1;NA;NA;31;2020-03-20T22:01:00Z
Liechtenstein;28;NA;NA;NA;NA;28;2020-03-20T22:01:00Z
Réunion;28;NA;NA;NA;NA;28;2020-03-20T22:01:00Z
Afghanistan;24;2;NA;NA;1;23;2020-03-20T22:01:00Z
Honduras;24;12;NA;NA;NA;24;2020-03-20T22:01:00Z
Bangladesh;20;2;1;NA;3;16;2020-03-20T22:01:00Z
Cameroon;20;7;NA;NA;2;18;2020-03-20T22:01:00Z
DRC;18;4;NA;NA;NA;18;2020-03-20T22:01:00Z
Macao;17;NA;NA;NA;10;7;2020-03-20T22:01:00Z
Rwanda;17;6;NA;NA;NA;17;2020-03-20T22:01:00Z
Cuba;16;5;1;NA;NA;15;2020-03-20T22:01:00Z
Jamaica;16;1;1;NA;2;13;2020-03-20T22:01:00Z
Bolivia;16;1;NA;NA;NA;16;2020-03-20T22:01:00Z
Ghana;16;5;NA;NA;NA;16;2020-03-20T22:01:00Z
Guyana;15;10;1;NA;NA;14;2020-03-20T22:01:00Z
French Guiana;15;NA;NA;NA;NA;15;2020-03-20T22:01:00Z
Guam;14;2;NA;NA;NA;14;2020-03-20T22:01:00Z
Montenegro;14;1;NA;NA;NA;14;2020-03-20T22:01:00Z
Puerto Rico;14;8;NA;NA;NA;14;2020-03-20T22:01:00Z
Maldives;13;NA;NA;NA;2;11;2020-03-20T22:01:00Z
Paraguay;13;NA;NA;NA;NA;13;2020-03-20T22:01:00Z
Guatemala;12;3;1;NA;NA;11;2020-03-20T22:01:00Z
Nigeria;12;NA;NA;NA;1;11;2020-03-20T22:01:00Z
Channel Islands;12;1;NA;NA;NA;12;2020-03-20T22:01:00Z
Mauritius;12;5;NA;NA;NA;12;2020-03-20T22:01:00Z
Monaco;11;1;NA;NA;NA;11;2020-03-20T22:01:00Z
French Polynesia;11;5;NA;NA;NA;11;2020-03-20T22:01:00Z
Gibraltar;10;NA;NA;NA;2;8;2020-03-20T22:01:00Z
Ivory Coast;9;NA;NA;NA;1;8;2020-03-20T22:01:00Z
Ethiopia;9;2;NA;NA;NA;9;2020-03-20T22:01:00Z
Togo;9;8;NA;NA;NA;9;2020-03-20T22:01:00Z
Trinidad and Tobago;9;NA;NA;NA;NA;9;2020-03-20T22:01:00Z
Kenya;7;NA;NA;NA;NA;7;2020-03-20T22:01:00Z
Seychelles;7;1;NA;NA;NA;7;2020-03-20T22:01:00Z
Equatorial Guinea;6;NA;NA;NA;NA;6;2020-03-20T22:01:00Z
Kyrgyzstan;6;3;NA;NA;NA;6;2020-03-20T22:01:00Z
Mayotte;6;2;NA;NA;NA;6;2020-03-20T22:01:00Z
Mongolia;6;NA;NA;NA;NA;6;2020-03-20T22:01:00Z
Tanzania;6;NA;NA;NA;NA;6;2020-03-20T22:01:00Z
Aruba;5;NA;NA;NA;1;4;2020-03-20T22:01:00Z
Barbados;5;NA;NA;NA;NA;5;2020-03-20T22:01:00Z
Gabon;4;1;1;1;NA;3;2020-03-20T22:01:00Z
Bahamas;4;1;NA;NA;NA;4;2020-03-20T22:01:00Z
Saint Martin;4;1;NA;NA;NA;4;2020-03-20T22:01:00Z
Suriname;4;3;NA;NA;NA;4;2020-03-20T22:01:00Z
Cayman Islands;3;NA;1;NA;NA;2;2020-03-20T22:01:00Z
Curaçao;3;NA;1;NA;NA;2;2020-03-20T22:01:00Z
CAR;3;2;NA;NA;NA;3;2020-03-20T22:01:00Z
Congo;3;NA;NA;NA;NA;3;2020-03-20T22:01:00Z
Madagascar;3;3;NA;NA;NA;3;2020-03-20T22:01:00Z
Namibia;3;NA;NA;NA;NA;3;2020-03-20T22:01:00Z
St. Barth;3;NA;NA;NA;NA;3;2020-03-20T22:01:00Z
U.S. Virgin Islands;3;NA;NA;NA;NA;3;2020-03-20T22:01:00Z
Sudan;2;NA;1;NA;NA;1;2020-03-20T22:01:00Z
Benin;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Bermuda;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Bhutan;2;1;NA;NA;NA;2;2020-03-20T22:01:00Z
Greenland;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Guinea;2;1;NA;NA;NA;2;2020-03-20T22:01:00Z
Haiti;2;2;NA;NA;NA;2;2020-03-20T22:01:00Z
Isle of Man;2;1;NA;NA;NA;2;2020-03-20T22:01:00Z
Liberia;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Mauritania;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
New Caledonia;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Nicaragua;2;1;NA;NA;NA;2;2020-03-20T22:01:00Z
Saint Lucia;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Zambia;2;NA;NA;NA;NA;2;2020-03-20T22:01:00Z
Nepal;1;NA;NA;NA;1;0;2020-03-20T22:01:00Z
Angola;1;1;NA;NA;NA;1;2020-03-20T22:01:00Z
Antigua and Barbuda;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Cabo Verde;1;1;NA;NA;NA;1;2020-03-20T22:01:00Z
Chad;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Djibouti;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
El Salvador;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Fiji;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Gambia;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Vatican City;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Montserrat;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Niger;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Papua New Guinea;1;1;NA;NA;NA;1;2020-03-20T22:01:00Z
St. Vincent Grenadines;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Sint Maarten;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Somalia;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Eswatini;1;NA;NA;NA;NA;1;2020-03-20T22:01:00Z
Zimbabwe;1;1;NA;NA;NA;1;2020-03-20T22:01:00Z
China;80967;NA;3248;NA;71150;6569;2020-03-20T23:05:00Z
Italy;47021;NA;4032;627;5129;37860;2020-03-20T23:05:00Z
Spain;21510;NA;1093;262;1588;18829;2020-03-20T23:05:00Z
Germany;19848;NA;68;24;180;19600;2020-03-20T23:05:00Z
Iran;19644;NA;1433;149;6745;11466;2020-03-20T23:05:00Z
USA;19187;NA;248;41;147;18792;2020-03-20T23:05:00Z
France;12612;NA;450;78;1587;10575;2020-03-20T23:05:00Z
S. Korea;8652;87;94;3;2233;6325;2020-03-20T23:05:00Z
Switzerland;5407;NA;56;13;15;5336;2020-03-20T23:05:00Z
UK;3983;714;177;33;65;3741;2020-03-20T23:05:00Z
Netherlands;2994;534;106;30;2;2886;2020-03-20T23:05:00Z
Austria;2649;470;6;NA;9;2634;2020-03-20T23:05:00Z
Belgium;2257;462;37;16;204;2016;2020-03-20T23:05:00Z
Norway;1950;160;7;NA;1;1942;2020-03-20T23:05:00Z
Sweden;1639;200;16;5;16;1607;2020-03-20T23:05:00Z
Denmark;1255;104;9;3;1;1245;2020-03-20T23:05:00Z
Canada;1077;204;12;NA;14;1051;2020-03-20T23:05:00Z
Malaysia;1030;130;3;1;87;940;2020-03-20T23:05:00Z
Portugal;1020;234;6;2;5;1009;2020-03-20T23:05:00Z
Japan;963;20;33;NA;215;715;2020-03-20T23:05:00Z
Brazil;904;264;11;4;2;891;2020-03-20T23:05:00Z
Australia;877;121;7;NA;46;824;2020-03-20T23:05:00Z
Czechia;833;139;NA;NA;4;829;2020-03-20T23:05:00Z
Diamond Princess;712;NA;8;1;527;177;2020-03-20T23:05:00Z
Israel;705;28;1;1;15;689;2020-03-20T23:05:00Z
Ireland;683;126;3;NA;5;675;2020-03-20T23:05:00Z
Turkey;670;311;9;5;NA;661;2020-03-20T23:05:00Z
Pakistan;501;47;3;1;13;485;2020-03-20T23:05:00Z
Greece;495;31;10;4;19;466;2020-03-20T23:05:00Z
Luxembourg;484;149;5;1;6;473;2020-03-20T23:05:00Z
Qatar;470;10;NA;NA;10;460;2020-03-20T23:05:00Z
Finland;450;50;NA;NA;10;440;2020-03-20T23:05:00Z
Chile;434;92;NA;NA;6;428;2020-03-20T23:05:00Z
Ecuador;426;166;7;4;3;416;2020-03-20T23:05:00Z
Poland;425;70;5;NA;13;407;2020-03-20T23:05:00Z
Iceland;409;79;NA;NA;5;404;2020-03-20T23:05:00Z
Singapore;385;40;NA;NA;131;254;2020-03-20T23:05:00Z
Indonesia;369;60;32;7;17;320;2020-03-20T23:05:00Z
Saudi Arabia;344;70;NA;NA;8;336;2020-03-20T23:05:00Z
Slovenia;341;22;1;NA;NA;340;2020-03-20T23:05:00Z
Thailand;322;50;1;NA;42;279;2020-03-20T23:05:00Z
Romania;308;31;NA;NA;31;277;2020-03-20T23:05:00Z
Bahrain;298;19;1;NA;125;172;2020-03-20T23:05:00Z
Egypt;285;29;8;1;42;235;2020-03-20T23:05:00Z
Estonia;283;16;NA;NA;1;282;2020-03-20T23:05:00Z
Peru;263;29;4;3;1;258;2020-03-20T23:05:00Z
Hong Kong;256;48;4;NA;98;154;2020-03-20T23:05:00Z
Russia;253;54;1;NA;12;240;2020-03-20T23:05:00Z
India;249;55;5;1;23;221;2020-03-20T23:05:00Z
Philippines;230;13;18;1;8;204;2020-03-20T23:05:00Z
Iraq;208;16;17;4;49;142;2020-03-20T23:05:00Z
South Africa;202;52;NA;NA;NA;202;2020-03-20T23:05:00Z
Lebanon;177;20;4;NA;4;169;2020-03-20T23:05:00Z
Mexico;164;46;1;NA;4;159;2020-03-20T23:05:00Z
Kuwait;159;11;NA;NA;22;137;2020-03-20T23:05:00Z
Colombia;145;37;NA;NA;1;144;2020-03-20T23:05:00Z
San Marino;144;NA;14;NA;4;126;2020-03-20T23:05:00Z
UAE;140;NA;2;2;31;107;2020-03-20T23:05:00Z
Panama;137;NA;1;NA;1;135;2020-03-20T23:05:00Z
Slovakia;137;13;NA;NA;NA;137;2020-03-20T23:05:00Z
Armenia;136;14;NA;NA;1;135;2020-03-20T23:05:00Z
Taiwan;135;27;2;1;28;105;2020-03-20T23:05:00Z
Serbia;135;32;1;1;2;132;2020-03-20T23:05:00Z
Croatia;130;20;1;NA;5;124;2020-03-20T23:05:00Z
Argentina;128;NA;3;NA;3;122;2020-03-20T23:05:00Z
Bulgaria;127;20;3;NA;1;123;2020-03-20T23:05:00Z
Costa Rica;113;26;2;1;2;109;2020-03-20T23:05:00Z
Latvia;111;25;NA;NA;1;110;2020-03-20T23:05:00Z
Algeria;94;4;11;2;32;51;2020-03-20T23:05:00Z
Uruguay;94;15;NA;NA;NA;94;2020-03-20T23:05:00Z
Vietnam;91;6;NA;NA;17;74;2020-03-20T23:05:00Z
Bosnia and Herzegovina;89;25;NA;NA;2;87;2020-03-20T23:05:00Z
Hungary;85;12;4;3;7;74;2020-03-20T23:05:00Z
Jordan;85;16;NA;NA;1;84;2020-03-20T23:05:00Z
Faeroe Islands;80;8;NA;NA;3;77;2020-03-20T23:05:00Z
Morocco;79;16;3;1;2;74;2020-03-20T23:05:00Z
Brunei;78;5;NA;NA;1;77;2020-03-20T23:05:00Z
North Macedonia;76;26;NA;NA;1;75;2020-03-20T23:05:00Z
Andorra;75;1;NA;NA;1;74;2020-03-20T23:05:00Z
Cyprus;75;8;NA;NA;NA;75;2020-03-20T23:05:00Z
Sri Lanka;73;13;NA;NA;3;70;2020-03-20T23:05:00Z
Dominican Republic;72;38;2;NA;NA;70;2020-03-20T23:05:00Z
Albania;70;6;2;NA;2;66;2020-03-20T23:05:00Z
Belarus;69;18;NA;NA;15;54;2020-03-20T23:05:00Z
Moldova;66;17;1;NA;1;64;2020-03-20T23:05:00Z
Malta;64;11;NA;NA;2;62;2020-03-20T23:05:00Z
Lithuania;63;15;NA;NA;1;62;2020-03-20T23:05:00Z
Tunisia;54;15;1;NA;1;52;2020-03-20T23:05:00Z
New Zealand;53;25;NA;NA;NA;53;2020-03-20T23:05:00Z
Kazakhstan;52;8;NA;NA;NA;52;2020-03-20T23:05:00Z
Cambodia;51;14;NA;NA;1;50;2020-03-20T23:05:00Z
Oman;48;NA;NA;NA;13;35;2020-03-20T23:05:00Z
Palestine;48;1;NA;NA;17;31;2020-03-20T23:05:00Z
Senegal;47;11;NA;NA;5;42;2020-03-20T23:05:00Z
Guadeloupe;45;12;NA;NA;NA;45;2020-03-20T23:05:00Z
Azerbaijan;44;NA;1;NA;7;36;2020-03-20T23:05:00Z
Georgia;44;4;NA;NA;1;43;2020-03-20T23:05:00Z
Venezuela;42;NA;NA;NA;NA;42;2020-03-20T23:05:00Z
Ukraine;41;15;3;NA;1;37;2020-03-20T23:05:00Z
Burkina Faso;40;7;1;NA;4;35;2020-03-20T23:05:00Z
Uzbekistan;33;10;NA;NA;NA;33;2020-03-20T23:05:00Z
Martinique;32;9;1;NA;NA;31;2020-03-20T23:05:00Z
Liechtenstein;28;NA;NA;NA;NA;28;2020-03-20T23:05:00Z
Réunion;28;NA;NA;NA;NA;28;2020-03-20T23:05:00Z
Afghanistan;24;2;NA;NA;1;23;2020-03-20T23:05:00Z
Honduras;24;12;NA;NA;NA;24;2020-03-20T23:05:00Z
Bangladesh;20;2;1;NA;3;16;2020-03-20T23:05:00Z
Cameroon;20;7;NA;NA;2;18;2020-03-20T23:05:00Z
DRC;18;4;NA;NA;NA;18;2020-03-20T23:05:00Z
Macao;17;NA;NA;NA;10;7;2020-03-20T23:05:00Z
Rwanda;17;6;NA;NA;NA;17;2020-03-20T23:05:00Z
Cuba;16;5;1;NA;NA;15;2020-03-20T23:05:00Z
Jamaica;16;1;1;NA;2;13;2020-03-20T23:05:00Z
Bolivia;16;1;NA;NA;NA;16;2020-03-20T23:05:00Z
Ghana;16;5;NA;NA;NA;16;2020-03-20T23:05:00Z
Guyana;15;10;1;NA;NA;14;2020-03-20T23:05:00Z
French Guiana;15;NA;NA;NA;NA;15;2020-03-20T23:05:00Z
Guam;14;2;NA;NA;NA;14;2020-03-20T23:05:00Z
Montenegro;14;1;NA;NA;NA;14;2020-03-20T23:05:00Z
Puerto Rico;14;8;NA;NA;NA;14;2020-03-20T23:05:00Z
Maldives;13;NA;NA;NA;2;11;2020-03-20T23:05:00Z
Paraguay;13;NA;NA;NA;NA;13;2020-03-20T23:05:00Z
Guatemala;12;3;1;NA;NA;11;2020-03-20T23:05:00Z
Nigeria;12;NA;NA;NA;1;11;2020-03-20T23:05:00Z
Channel Islands;12;1;NA;NA;NA;12;2020-03-20T23:05:00Z
Mauritius;12;5;NA;NA;NA;12;2020-03-20T23:05:00Z
Monaco;11;1;NA;NA;NA;11;2020-03-20T23:05:00Z
French Polynesia;11;5;NA;NA;NA;11;2020-03-20T23:05:00Z
Gibraltar;10;NA;NA;NA;2;8;2020-03-20T23:05:00Z
Ivory Coast;9;NA;NA;NA;1;8;2020-03-20T23:05:00Z
Ethiopia;9;2;NA;NA;NA;9;2020-03-20T23:05:00Z
Togo;9;8;NA;NA;NA;9;2020-03-20T23:05:00Z
Trinidad and Tobago;9;NA;NA;NA;NA;9;2020-03-20T23:05:00Z
Kenya;7;NA;NA;NA;NA;7;2020-03-20T23:05:00Z
Seychelles;7;1;NA;NA;NA;7;2020-03-20T23:05:00Z
Barbados;6;1;NA;NA;NA;6;2020-03-20T23:05:00Z
Equatorial Guinea;6;NA;NA;NA;NA;6;2020-03-20T23:05:00Z
Kyrgyzstan;6;3;NA;NA;NA;6;2020-03-20T23:05:00Z
Mayotte;6;2;NA;NA;NA;6;2020-03-20T23:05:00Z
Mongolia;6;NA;NA;NA;NA;6;2020-03-20T23:05:00Z
Tanzania;6;NA;NA;NA;NA;6;2020-03-20T23:05:00Z
Aruba;5;NA;NA;NA;1;4;2020-03-20T23:05:00Z
Gabon;4;1;1;1;NA;3;2020-03-20T23:05:00Z
Bahamas;4;1;NA;NA;NA;4;2020-03-20T23:05:00Z
Saint Martin;4;1;NA;NA;NA;4;2020-03-20T23:05:00Z
Suriname;4;3;NA;NA;NA;4;2020-03-20T23:05:00Z
Cayman Islands;3;NA;1;NA;NA;2;2020-03-20T23:05:00Z
Curaçao;3;NA;1;NA;NA;2;2020-03-20T23:05:00Z
CAR;3;2;NA;NA;NA;3;2020-03-20T23:05:00Z
Congo;3;NA;NA;NA;NA;3;2020-03-20T23:05:00Z
Madagascar;3;3;NA;NA;NA;3;2020-03-20T23:05:00Z
Namibia;3;NA;NA;NA;NA;3;2020-03-20T23:05:00Z
St. Barth;3;NA;NA;NA;NA;3;2020-03-20T23:05:00Z
U.S. Virgin Islands;3;NA;NA;NA;NA;3;2020-03-20T23:05:00Z
Sudan;2;NA;1;NA;NA;1;2020-03-20T23:05:00Z
Benin;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Bermuda;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Bhutan;2;1;NA;NA;NA;2;2020-03-20T23:05:00Z
Greenland;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Guinea;2;1;NA;NA;NA;2;2020-03-20T23:05:00Z
Haiti;2;2;NA;NA;NA;2;2020-03-20T23:05:00Z
Isle of Man;2;1;NA;NA;NA;2;2020-03-20T23:05:00Z
Liberia;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Mauritania;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
New Caledonia;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Nicaragua;2;1;NA;NA;NA;2;2020-03-20T23:05:00Z
Saint Lucia;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Zambia;2;NA;NA;NA;NA;2;2020-03-20T23:05:00Z
Nepal;1;NA;NA;NA;1;0;2020-03-20T23:05:00Z
Angola;1;1;NA;NA;NA;1;2020-03-20T23:05:00Z
Antigua and Barbuda;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Cabo Verde;1;1;NA;NA;NA;1;2020-03-20T23:05:00Z
Chad;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Djibouti;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
El Salvador;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Fiji;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Gambia;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Vatican City;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Montserrat;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Niger;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Papua New Guinea;1;1;NA;NA;NA;1;2020-03-20T23:05:00Z
St. Vincent Grenadines;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Sint Maarten;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Somalia;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Eswatini;1;NA;NA;NA;NA;1;2020-03-20T23:05:00Z
Zimbabwe;1;1;NA;NA;NA;1;2020-03-20T23:05:00Z
China;81008;41;3255;7;71740;6013;2020-03-21T00:06:00Z
Italy;47021;NA;4032;627;5129;37860;2020-03-21T00:06:00Z
Spain;21510;NA;1093;262;1588;18829;2020-03-21T00:06:00Z
Germany;19848;NA;68;24;180;19600;2020-03-21T00:06:00Z
Iran;19644;NA;1433;149;6745;11466;2020-03-21T00:06:00Z
USA;19393;NA;256;49;147;18990;2020-03-21T00:06:00Z
France;12612;NA;450;78;1587;10575;2020-03-21T00:06:00Z
S. Korea;8652;87;94;3;2233;6325;2020-03-21T00:06:00Z
Switzerland;5407;NA;56;13;15;5336;2020-03-21T00:06:00Z
UK;3983;714;177;33;65;3741;2020-03-21T00:06:00Z
Netherlands;2994;534;106;30;2;2886;2020-03-21T00:06:00Z
Austria;2649;470;6;NA;9;2634;2020-03-21T00:06:00Z
Belgium;2257;462;37;16;204;2016;2020-03-21T00:06:00Z
Norway;1957;167;7;NA;1;1949;2020-03-21T00:06:00Z
Sweden;1639;200;16;5;16;1607;2020-03-21T00:06:00Z
Denmark;1255;104;9;3;1;1245;2020-03-21T00:06:00Z
Canada;1077;204;12;NA;14;1051;2020-03-21T00:06:00Z
Malaysia;1030;130;3;1;87;940;2020-03-21T00:06:00Z
Portugal;1020;234;6;2;5;1009;2020-03-21T00:06:00Z
Brazil;970;330;11;4;2;957;2020-03-21T00:06:00Z
Japan;963;20;33;NA;215;715;2020-03-21T00:06:00Z
Australia;877;121;7;NA;46;824;2020-03-21T00:06:00Z
Czechia;833;139;NA;NA;4;829;2020-03-21T00:06:00Z
Diamond Princess;712;NA;8;1;527;177;2020-03-21T00:06:00Z
Israel;705;28;1;1;15;689;2020-03-21T00:06:00Z
Ireland;683;126;3;NA;5;675;2020-03-21T00:06:00Z
Turkey;670;311;9;5;NA;661;2020-03-21T00:06:00Z
Pakistan;501;47;3;1;13;485;2020-03-21T00:06:00Z
Greece;495;31;10;4;19;466;2020-03-21T00:06:00Z
Luxembourg;484;149;5;1;6;473;2020-03-21T00:06:00Z
Qatar;470;10;NA;NA;10;460;2020-03-21T00:06:00Z
Finland;450;50;NA;NA;10;440;2020-03-21T00:06:00Z
Chile;434;92;NA;NA;6;428;2020-03-21T00:06:00Z
Ecuador;426;166;7;4;3;416;2020-03-21T00:06:00Z
Poland;425;70;5;NA;13;407;2020-03-21T00:06:00Z
Iceland;409;79;NA;NA;5;404;2020-03-21T00:06:00Z
Singapore;385;40;NA;NA;131;254;2020-03-21T00:06:00Z
Indonesia;369;60;32;7;17;320;2020-03-21T00:06:00Z
Saudi Arabia;344;70;NA;NA;8;336;2020-03-21T00:06:00Z
Slovenia;341;22;1;NA;NA;340;2020-03-21T00:06:00Z
